time_start_time-trial,time_end_time-trial,rotation,chart-type,workerID,log-error,totalSequence,judged-true,ans-percentage-diff,opposite-ans,ans-trial,correct-ans,time_diff_time-trial,arcPrediction,areaPrediction
1452625724905,1452625732297,77.22655577291098,exploded,QV69HK91,6.631177055703978,10,99,2.75,64,135,36,7.392,40.645161290322584,45.88969823100936
1452625743945,1452625752601,295.8901601853346,exploded,QV69HK91,7.1202378773419595,13,139,2.482142857142857,44,195,56,8.656,63.225806451612904,71.38397502601457
1452625736186,1452625743944,298.7345232662157,ellipse,QV69HK91,7.9255544398735545,12,243,2.793103448275862,13,330,87,7.758,90.85091312756455,93.16860713707216
1452626412905,,7.683100355375823,outerRadius,QV69HK91,4.592457037268081,59,24,2.1818181818181817,89,35,11,,12.419354838709678,14.021852237252862
1452626407513,1452626412904,72.76664974839113,exploded,QV69HK91,7.056637715113201,58,133,2.5576923076923075,48,185,52,5.391,58.70967741935484,66.28511966701353
1452625880282,1452625883960,258.2300012006032,pie,QV69HK91,4.864186144654281,17,29,1.8125,84,45,16,3.678,16.0,16.0
1452625776698,1452625880281,115.21877931843824,outerRadius,QV69HK91,7.95492329203032,16,248,2.6956521739130435,8,340,92,103.583,103.87096774193549,117.27367325702393
1452625893100,1452625898920,30.03771922580753,outerRadius,QV69HK91,6.631177055703978,19,99,2.75,64,135,36,5.82,40.645161290322584,45.88969823100936
1452626377625,1452626386007,190.2316187132019,ellipse,QV69HK91,7.721953612801386,54,211,2.3707865168539324,11,300,89,8.382,86.08654051372525,81.04772049915529
1452626402345,1452626407511,329.21273479388594,pie,QV69HK91,7.2203783276952285,57,149,2.257575757575758,34,215,66,5.166,66.0,66.0
1452626395386,1452626402344,200.85656155562577,pie,QV69HK91,7.258566033889933,56,153,2.467741935483871,38,215,62,6.958,62.0,62.0
1452626344507,1452626355400,303.2653100142791,ellipse,QV69HK91,7.858758099935421,51,232,2.9743589743589745,22,310,78,10.893,82.92910173375422,87.36666944521006
1452626341499,1452626344505,260.11172201490655,outerRadius,QV69HK91,7.067434360756522,50,134,2.627450980392157,49,185,51,3.006,57.58064516129032,65.01040582726327
1452626369338,1452626377624,68.3372886420762,square,QV69HK91,7.622966944790511,53,197,2.5256410256410255,22,275,78,8.286,77.56624831831343,77.56624831831341
1452626355402,1452626369337,291.1363914312791,square,QV69HK91,7.827342704234116,52,227,2.5795454545454546,12,315,88,13.935,90.1010500927205,90.1010500927205
1452626386009,1452626395384,29.020103991303117,outerRadius,QV69HK91,7.846273911349907,55,230,2.7058823529411766,15,315,85,9.375,95.96774193548387,108.3506763787721
1452626100282,1452626107673,175.1275192041857,outerRadius,QV69HK91,3.189824558880017,37,9,1.5,94,15,6,7.391,6.774193548387097,7.648283038501561
1452625883961,1452625893098,205.25033170652836,ellipse,QV69HK91,3.9188632372745946,18,15,3,95,20,5,9.137,5.6495383854277295,5.1891479307991695
1452626017562,1452626063433,319.82147073482616,outerRadius,QV69HK91,2.8328900141647417,33,7,2.3333333333333335,97,10,3,45.871,3.3870967741935485,3.8241415192507806
