subjectID,time_start_time_trial,time_end_time_trial,totalSequence,opposite_ans,rotation,correct_ans,thirds,time_diff_time_trial,log_error,inner_radius,judged_true,ans_percentage_diff,ans_trial,age,browser,browserVersion,comments,degree,monitor,participantCount,postId,screenHeight,screenWidth,sex,windowHeight,windowWidth
1,1441819917637,1441819920741,54,94,260.2698037,6,small,3104,3.189824559,0,9,1.5,15,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819927374,1441819931423,57,86,134.7865561,14,small,4049,2.614709844,120,6,0.4285714286,20,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819923833,1441819927374,56,15,154.6537196,85,large,3541,2.357552005,30,-5,-0.05882352941,80,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819908106,1441819911112,51,38,244.8302687,62,medium,3006,2.044394119,60,4,0.06451612903,66,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819905172,1441819908106,50,85,215.0907386,15,small,2934,-3,30,0,0,15,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819914399,1441819917636,53,59,171.746902,41,medium,3237,0.1699250014,120,-1,-0.0243902439,40,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819911112,1441819914399,52,43,290.844253,57,medium,3287,1.64385619,60,3,0.05263157895,60,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819920742,1441819923832,55,49,45.27252484,51,medium,3090,0.1699250014,120,-1,-0.01960784314,50,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819855775,1441819859522,37,43,328.2623757,57,medium,3747,2.832890014,150,-7,-0.1228070175,50,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819771848,1441819775243,18,89,166.3431568,11,small,3395,2.044394119,30,4,0.3636363636,15,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819835055,1441819840368,33,24,307.3053683,76,large,5313,0.1699250014,120,-1,-0.01315789474,75,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
2,1441777241823,1441777292289,30,24,207.7890125,76,large,50466,2.044394119,150,4,0.05263157895,80,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777527201,1441777536202,42,89,335.5245317,11,small,9001,0.7004397181,0,1.5,0.1363636364,12.5,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777085232,1441777095699,22,68,263.7168658,32,small,10467,1.64385619,150,3,0.09375,35,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777379561,1441777414231,36,22,62.2659561,78,large,34670,1.087462841,120,2,0.02564102564,80,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777352941,1441777379561,35,14,8.232082352,86,large,26620,0.1699250014,90,-1,-0.01162790698,85,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777308426,1441777321338,32,33,25.1513046,67,large,12912,1.64385619,30,3,0.0447761194,70,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777121118,1441777139419,24,38,301.5407762,62,medium,18301,4.6794801,120,25.5,0.4112903226,87.5,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
