subjectID,time_start_time_trial,time_end_time_trial,workerID,totalSequence,opposite_ans,rotation,correct_ans,thirds,time_diff_time_trial,chart_type,log_error,log_opposite,judged_true,ans_percentage_diff,ans_trial,thirds_given,ans_trial_opposite,Given_Pie_Chart_1,Correct_Pie_Chart_1,Given_Pie_Chart_2,Correct_Pie_Chart_2,Pie_Chart_Multiple_Choice_1,Multiple_Choice_Pie_Order_1,Given_Donut_Chart_1,Correct_Donut_Chart_1,Given_Donut_Chart_2,Correct_Donut_Chart_2,Donut_Chart_Multiple_Choice_1,Given_Arc_Length_Intro_1,Correct_Arc_Length_Intro_1,Given_Arc_Length_Intro_2,Correct_Arc_Length_Intro_2,Given_Pie_Angle_Intro_1,Correct_Pie_Angle_Intro_1,Given_Pie_Angle_Intro_2,Correct_Pie_Angle_Intro_2,Given_Donut_Angle_Intro_1,Correct_Donut_Angle_Intro_1,Given_Donut_Angle_Intro_2,Correct_Donut_Angle_Intro_2,Given_Area_Intro_1,Correct_Area_Intro_1,Given_Area_Intro_2,Correct_Area_Intro_2,Given_Pie_Chart_3,Correct_Pie_Chart_3,Given_Pie_Chart_4,Correct_Pie_Chart_4,Pie_Chart_Multiplle_Choice_2,Multiple_Choice_Pie_Order_2,Given_Donut_Chart_3,Correct_Donut_Chart_3,Given_Donut_Chart_4,Correct_Donut_Chart_4,Donut_Chart_Multiple_Choice_2,age,browser,browserVersion,degree,monitor,screenWidth,screenHeight,sex,windowHeight,windowWidth
1,1440102740456,1440102743836,76F508,45,8,146.5832383,92,large,3380,Area Chart,1.087462841,1.087462841,-2,-0.02173913043,90,large,90,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102674384,1440102677400,76F508,28,18,237.0983412,82,large,3016,Arc-Length Chart,1.087462841,1.087462841,-2,-0.0243902439,80,large,80,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102677416,1440102680646,76F508,29,78,295.821039,22,small,3230,Pie Chart,1.64385619,1.64385619,3,0.1363636364,25,small,25,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102722725,1440102726097,76F508,40,68,317.4208672,32,small,3372,Area Chart,1.087462841,1.087462841,-2,-0.0625,30,small,30,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102726097,1440102729269,76F508,41,57,125.713124,43,medium,3172,Donut Chart,1.64385619,1.64385619,-3,-0.06976744186,40,medium,40,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102700872,1440102705420,76F508,35,12,328.1265116,88,large,4548,Donut Angle Chart,6.192292814,1.64385619,-73,-0.8295454545,15,small,85,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102684043,1440102688127,76F508,31,38,34.3423833,62,medium,4084,Pie Chart,1.087462841,1.087462841,-2,-0.03225806452,60,medium,60,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102733927,1440102737197,76F508,43,22,246.3279889,78,large,3270,Donut Chart,1.087462841,1.087462841,2,0.02564102564,80,large,80,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102697615,1440102700856,76F508,34,51,230.6569718,49,medium,3241,Arc-Length Chart,0.1699250014,0.1699250014,1,0.02040816327,50,medium,50,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102749089,1440102752438,76F508,47,75,257.2418095,25,small,3349,Area Chart,2.357552005,2.357552005,5,0.2,30,small,30,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
